iter	Logloss
0	0.6703283069
1	0.6495106754
2	0.6310127209
3	0.6148403534
4	0.6005155289
5	0.5883589118
6	0.5769457275
7	0.5669052929
8	0.5580455804
9	0.5497139535
10	0.5426684414
11	0.5357829047
12	0.5302090902
13	0.5254473924
14	0.5207891529
15	0.5166785002
16	0.5131512949
17	0.509592437
18	0.5064720346
19	0.5038738017
20	0.5012494451
21	0.4990008597
22	0.4970076383
23	0.4953255325
24	0.4934550007
25	0.4916889548
26	0.4901977794
27	0.4887708056
28	0.4875227583
29	0.4862620217
30	0.4851543389
31	0.4842267202
32	0.4833034143
33	0.482550839
34	0.4817401666
35	0.4811074597
36	0.4805279823
37	0.4799361857
38	0.4793971881
39	0.4788734875
40	0.4782766017
41	0.4778343739
42	0.4773406691
43	0.4769417968
44	0.4765279883
45	0.4761690554
46	0.4758600866
47	0.4755712375
48	0.475286922
49	0.4749956145
50	0.4746806618
51	0.4744866253
52	0.4743097985
53	0.4740608448
54	0.4738525247
55	0.4736417185
56	0.4734317375
57	0.4732465033
58	0.4731024515
59	0.4729592241
60	0.4727749327
61	0.4726493008
62	0.4724809663
63	0.4723710492
64	0.4722377331
65	0.4721143461
66	0.4719794616
67	0.4718266683
68	0.4716754208
69	0.4715579574
70	0.4714833264
71	0.4713925068
72	0.4713243156
73	0.4712246904
74	0.4711268107
75	0.4710481657
76	0.4709269478
77	0.4708503397
78	0.470742079
79	0.4706365792
80	0.4705276367
81	0.4704323013
82	0.470358144
83	0.4702527258
84	0.4701845792
85	0.4701085176
86	0.4700499408
87	0.4699652119
88	0.4699131195
89	0.4698175091
90	0.4697546321
91	0.4696854803
92	0.469585575
93	0.4694953687
94	0.4694283707
95	0.4693119072
96	0.4692546769
97	0.469171791
98	0.4690840053
99	0.4690212141
100	0.4689336876
101	0.4688849085
102	0.4688482473
103	0.4687510084
104	0.4686699855
105	0.4686142218
106	0.4685540099
107	0.4684926988
108	0.4684379824
109	0.4683925962
110	0.4683573468
111	0.4683048413
112	0.468244398
113	0.4682132462
114	0.4681352846
115	0.4680762884
116	0.4680584104
117	0.4680119738
118	0.4679784129
119	0.4679305056
120	0.4678673976
121	0.467802615
122	0.4677579371
123	0.4677187133
124	0.4676477203
125	0.4675809588
126	0.4675122353
127	0.4674536368
128	0.4674112054
129	0.4673688633
130	0.4673425064
131	0.4673201147
132	0.4672725432
133	0.4672296003
134	0.4671868897
135	0.4671252423
136	0.4670768682
137	0.4670094323
138	0.466957423
139	0.4668962627
140	0.4668578988
141	0.4667949301
142	0.4667365273
143	0.4667051301
144	0.4666717046
145	0.4666185731
146	0.4665734757
147	0.4665201604
148	0.4664793865
149	0.4664058075
150	0.4663634942
151	0.4662921806
152	0.4662262823
153	0.4661692488
154	0.466119799
155	0.4660718237
156	0.4660649561
157	0.4660172451
158	0.4659826672
159	0.465955374
160	0.4659270699
161	0.4658952506
162	0.4658218242
163	0.4657773113
164	0.4657545197
165	0.4657095332
166	0.4656529493
167	0.4656126377
168	0.4655580391
169	0.4655032458
170	0.4654600656
171	0.4654254143
172	0.4653777781
173	0.4652979596
174	0.4652456043
175	0.4651806402
176	0.4651286171
177	0.4650912885
178	0.4650524255
179	0.4649956549
