iter	Passed	Remaining
0	62	62263
1	75	37853
2	83	27700
3	89	22250
4	95	18947
5	104	17299
6	118	16828
7	126	15735
8	135	14926
9	141	14040
10	152	13752
11	160	13228
12	165	12596
13	176	12420
14	185	12192
15	194	11986
16	204	11822
17	213	11647
18	223	11559
19	234	11475
20	241	11247
21	251	11181
22	260	11071
23	270	11000
24	282	11015
25	292	10953
26	302	10887
27	312	10837
28	324	10860
29	336	10886
30	346	10838
31	367	11115
32	377	11052
33	386	10990
34	395	10897
35	404	10822
36	411	10713
37	417	10574
38	425	10482
39	430	10341
40	444	10395
41	452	10315
42	468	10426
43	480	10440
44	491	10438
45	507	10519
46	521	10569
47	541	10742
48	552	10728
49	564	10720
50	578	10764
51	590	10763
52	605	10824
53	617	10815
54	629	10807
55	639	10778
56	652	10789
57	674	10955
58	695	11091
59	706	11068
60	714	10991
61	721	10922
62	728	10832
63	741	10846
64	748	10769
65	756	10703
66	763	10636
67	774	10614
68	782	10556
69	792	10527
70	798	10451
71	806	10389
72	813	10334
73	824	10320
74	830	10245
75	839	10211
76	845	10137
77	863	10204
78	878	10240
79	885	10188
80	894	10151
81	905	10137
82	913	10093
83	922	10061
84	933	10052
85	945	10046
86	952	9991
87	957	9924
88	963	9859
89	969	9802
90	977	9759
91	987	9750
92	993	9688
93	999	9633
94	1009	9613
95	1017	9579
96	1025	9546
97	1033	9512
98	1039	9461
99	1045	9406
100	1051	9356
101	1059	9325
102	1069	9314
103	1075	9266
104	1081	9218
105	1087	9172
106	1092	9120
107	1101	9101
108	1109	9072
109	1118	9052
110	1124	9002
111	1129	8956
112	1135	8915
113	1143	8890
114	1153	8877
115	1157	8824
116	1165	8795
117	1172	8767
118	1180	8741
119	1189	8723
120	1197	8696
121	1205	8675
122	1213	8654
123	1221	8632
124	1232	8629
125	1239	8598
126	1245	8561
127	1251	8523
128	1257	8488
129	1263	8455
130	1272	8438
131	1279	8415
132	1287	8392
133	1292	8355
134	1298	8319
135	1304	8287
136	1312	8268
137	1319	8239
138	1324	8203
139	1330	8170
140	1335	8138
141	1341	8103
142	1347	8076
143	1360	8090
144	1371	8084
145	1380	8076
146	1389	8063
147	1402	8073
148	1408	8043
149	1413	8012
150	1420	7987
151	1425	7955
152	1436	7950
153	1446	7946
154	1453	7922
155	1459	7894
156	1462	7850
157	1468	7823
158	1474	7799
159	1484	7791
160	1490	7765
161	1497	7743
162	1503	7721
163	1511	7706
164	1520	7696
165	1530	7688
166	1535	7658
167	1540	7630
168	1546	7602
169	1552	7581
170	1561	7568
171	1568	7550
172	1573	7522
173	1583	7518
174	1592	7509
175	1602	7502
176	1611	7492
177	1619	7480
178	1627	7465
179	1636	7453
180	1644	7443
181	1653	7429
182	1658	7404
183	1664	7382
184	1670	7358
185	1680	7353
186	1688	7341
187	1695	7324
188	1701	7300
189	1706	7276
190	1712	7252
191	1719	7235
192	1730	7236
193	1736	7214
194	1742	7192
195	1750	7182
196	1755	7157
197	1768	7164
198	1776	7151
199	1784	7136
200	1789	7114
201	1795	7091
202	1801	7072
203	1810	7064
204	1815	7041
205	1821	7019
206	1829	7007
207	1835	6987
208	1846	6988
209	1860	6997
210	1868	6986
211	1876	6974
212	1886	6972
213	1900	6981
214	1909	6971
215	1917	6960
216	1927	6956
217	1937	6949
218	1951	6959
219	1959	6945
220	1967	6934
221	1980	6941
222	1987	6926
223	1996	6916
224	2004	6904
225	2015	6902
226	2023	6891
227	2030	6875
228	2035	6853
229	2041	6834
230	2046	6813
231	2053	6797
232	2066	6802
233	2072	6783
234	2078	6767
235	2084	6747
236	2094	6743
237	2102	6731
238	2111	6723
239	2117	6703
240	2122	6685
241	2127	6664
242	2136	6655
243	2147	6654
244	2153	6635
245	2162	6629
246	2167	6608
247	2178	6606
248	2188	6601
249	2197	6593
250	2202	6573
251	2208	6555
252	2215	6540
253	2228	6544
254	2234	6527
255	2240	6511
256	2246	6494
257	2251	6474
258	2259	6464
259	2266	6451
260	2276	6446
261	2282	6428
262	2287	6410
263	2292	6392
264	2300	6380
265	2310	6376
266	2316	6358
267	2322	6343
268	2332	6337
269	2338	6323
270	2345	6308
271	2360	6317
272	2370	6311
273	2377	6298
274	2383	6282
275	2393	6278
276	2399	6262
277	2404	6245
278	2410	6228
279	2415	6212
280	2425	6207
281	2433	6196
282	2441	6185
283	2447	6169
284	2452	6153
285	2458	6136
286	2464	6122
287	2476	6121
288	2481	6105
289	2488	6092
290	2496	6082
291	2501	6064
292	2513	6063
293	2521	6055
294	2529	6044
295	2534	6028
296	2539	6011
297	2545	5996
298	2558	5997
299	2568	5992
300	2578	5987
301	2588	5982
302	2598	5977
303	2612	5982
304	2621	5974
305	2627	5959
306	2639	5959
307	2646	5946
308	2652	5930
309	2662	5925
310	2668	5912
311	2679	5908
312	2690	5904
313	2695	5888
314	2700	5872
315	2705	5857
316	2711	5841
317	2716	5825
318	2729	5827
319	2736	5815
320	2747	5811
321	2757	5805
322	2771	5808
323	2781	5804
324	2790	5795
325	2798	5785
326	2807	5778
327	2814	5765
328	2821	5753
329	2830	5747
330	2840	5740
331	2853	5741
332	2862	5732
333	2868	5720
334	2873	5704
335	2882	5695
336	2893	5692
337	2898	5677
338	2905	5666
339	2911	5651
340	2918	5639
341	2929	5636
342	2942	5635
343	2950	5626
344	2960	5620
345	2970	5614
346	2977	5602
347	2982	5587
348	2993	5583
349	3005	5582
350	3015	5576
351	3027	5573
352	3037	5566
353	3047	5560
354	3057	5555
355	3062	5540
356	3069	5529
357	3076	5516
358	3081	5502
359	3090	5494
360	3098	5484
361	3106	5475
362	3111	5459
363	3116	5446
364	3121	5431
365	3128	5420
366	3139	5415
367	3145	5401
368	3150	5388
369	3157	5375
370	3162	5361
371	3174	5358
372	3183	5350
373	3191	5342
374	3199	5333
375	3208	5325
376	3217	5317
377	3226	5308
378	3234	5299
379	3240	5287
380	3246	5275
381	3263	5279
382	3275	5276
383	3283	5267
384	3292	5259
385	3302	5253
386	3308	5240
387	3314	5228
388	3324	5221
389	3334	5215
390	3344	5208
391	3356	5205
392	3365	5197
393	3374	5189
394	3384	5183
395	3394	5178
396	3405	5172
397	3417	5168
398	3427	5162
399	3435	5152
400	3440	5139
401	3446	5126
402	3454	5117
403	3462	5107
404	3470	5098
405	3476	5086
406	3487	5081
407	3493	5069
408	3502	5060
409	3511	5052
410	3525	5052
411	3532	5041
412	3541	5034
413	3551	5027
414	3557	5014
415	3563	5003
416	3573	4995
417	3583	4989
418	3592	4980
419	3601	4973
420	3606	4960
421	3612	4947
422	3621	4939
423	3631	4932
424	3638	4922
425	3643	4909
426	3653	4903
427	3662	4895
428	3671	4887
429	3680	4878
430	3688	4869
431	3695	4859
432	3704	4850
433	3713	4842
434	3721	4834
435	3729	4824
436	3734	4811
437	3740	4799
438	3751	4794
439	3764	4790
440	3771	4780
441	3777	4768
442	3783	4757
443	3791	4748
444	3801	4741
445	3807	4730
446	3816	4720
447	3821	4709
448	3828	4698
449	3838	4690
450	3850	4686
451	3855	4674
452	3862	4664
453	3871	4655
454	3878	4646
455	3886	4636
456	3891	4624
457	3899	4614
458	3904	4602
459	3915	4596
460	3924	4588
461	3933	4580
462	3938	4568
463	3945	4558
464	3951	4546
465	3958	4536
466	3967	4528
467	3972	4516
468	3983	4510
469	3995	4506
470	4007	4500
471	4015	4492
472	4020	4479
473	4026	4468
474	4035	4459
475	4044	4452
476	4055	4446
477	4064	4438
478	4070	4426
479	4077	4417
480	4088	4411
481	4099	4405
482	4105	4394
483	4113	4385
484	4122	4377
485	4129	4367
486	4135	4356
487	4140	4344
488	4152	4339
489	4163	4333
490	4171	4324
491	4181	4317
492	4190	4309
493	4198	4300
494	4206	4291
495	4217	4285
496	4225	4276
497	4233	4267
498	4239	4256
499	4256	4256
500	4266	4249
501	4272	4238
502	4280	4229
503	4288	4220
504	4299	4214
505	4305	4202
506	4312	4193
507	4318	4182
508	4327	4174
509	4336	4166
510	4343	4156
511	4350	4146
512	4356	4135
513	4362	4125
514	4371	4117
515	4379	4107
516	4385	4096
517	4391	4086
518	4399	4077
519	4404	4065
520	4417	4061
521	4426	4053
522	4432	4043
523	4438	4031
524	4445	4022
525	4453	4013
526	4460	4003
527	4468	3994
528	4475	3984
529	4482	3975
530	4488	3964
531	4500	3959
532	4508	3950
533	4515	3940
534	4521	3929
535	4530	3921
536	4541	3916
537	4548	3906
538	4554	3895
539	4561	3885
540	4566	3874
541	4577	3867
542	4595	3867
543	4612	3866
544	4624	3860
545	4636	3854
546	4651	3852
547	4667	3849
548	4679	3844
549	4691	3838
550	4703	3832
551	4717	3828
552	4733	3826
553	4746	3821
554	4754	3812
555	4763	3804
556	4774	3797
557	4783	3788
558	4797	3784
559	4807	3777
560	4816	3769
561	4832	3766
562	4843	3759
563	4852	3751
564	4863	3744
565	4877	3739
566	4886	3731
567	4895	3723
568	4908	3717
569	4920	3711
570	4931	3705
571	4943	3698
572	4953	3691
573	4963	3683
574	4975	3677
575	4987	3671
576	4998	3664
577	5009	3657
578	5020	3650
579	5032	3644
580	5046	3639
581	5056	3631
582	5065	3623
583	5093	3627
584	5103	3620
585	5113	3612
586	5121	3603
587	5149	3608
588	5163	3603
589	5176	3596
590	5208	3604
591	5244	3614
592	5252	3605
593	5261	3596
594	5270	3587
595	5278	3577
596	5289	3570
597	5298	3562
598	5307	3553
599	5315	3543
600	5328	3537
601	5336	3528
602	5343	3518
603	5352	3509
604	5360	3499
605	5366	3488
606	5379	3482
607	5387	3473
608	5394	3463
609	5403	3454
610	5413	3446
611	5420	3436
612	5426	3425
613	5431	3414
614	5437	3403
615	5444	3393
616	5454	3386
617	5460	3375
618	5466	3364
619	5478	3357
620	5485	3347
621	5495	3339
622	5502	3329
623	5507	3318
624	5512	3307
625	5519	3297
626	5528	3288
627	5538	3280
628	5545	3270
629	5551	3260
630	5559	3250
631	5564	3240
632	5574	3231
633	5581	3222
634	5589	3213
635	5595	3202
636	5601	3191
637	5608	3182
638	5614	3172
639	5637	3171
640	5645	3161
641	5658	3155
642	5664	3145
643	5671	3134
644	5676	3124
645	5681	3113
646	5687	3103
647	5695	3093
648	5706	3086
649	5714	3076
650	5723	3068
651	5728	3057
652	5742	3051
653	5753	3043
654	5759	3033
655	5764	3022
656	5771	3012
657	5778	3003
658	5788	2995
659	5795	2985
660	5801	2975
661	5807	2965
662	5812	2954
663	5824	2947
664	5833	2938
665	5840	2929
666	5846	2918
667	5852	2908
668	5862	2900
669	5872	2892
670	5878	2882
671	5886	2873
672	5894	2864
673	5905	2856
674	5914	2847
675	5926	2840
676	5933	2831
677	5940	2821
678	5951	2813
679	5957	2803
680	5966	2794
681	5975	2786
682	5986	2778
683	5995	2769
684	6002	2760
685	6010	2751
686	6018	2742
687	6027	2733
688	6037	2725
689	6045	2716
690	6054	2707
691	6062	2698
692	6071	2689
693	6079	2680
694	6088	2671
695	6096	2662
696	6104	2653
697	6112	2644
698	6129	2639
699	6138	2630
700	6143	2620
701	6155	2612
702	6164	2604
703	6172	2595
704	6180	2586
705	6188	2577
706	6199	2569
707	6208	2560
708	6217	2551
709	6225	2542
710	6237	2535
711	6247	2527
712	6255	2517
713	6262	2508
714	6270	2499
715	6279	2490
716	6286	2481
717	6294	2472
718	6303	2463
719	6311	2454
720	6318	2445
721	6328	2436
722	6336	2427
723	6343	2418
724	6349	2408
725	6358	2399
726	6367	2391
727	6375	2382
728	6384	2373
729	6393	2364
730	6406	2357
731	6415	2348
732	6423	2339
733	6431	2330
734	6439	2321
735	6447	2312
736	6454	2303
737	6463	2294
738	6471	2285
739	6479	2276
740	6487	2267
741	6497	2259
742	6505	2250
743	6513	2241
744	6522	2232
745	6529	2223
746	6538	2214
747	6546	2205
748	6555	2196
749	6562	2187
750	6570	2178
751	6581	2170
752	6591	2162
753	6598	2152
754	6607	2144
755	6613	2134
756	6621	2125
757	6631	2117
758	6643	2109
759	6650	2100
760	6660	2091
761	6667	2082
762	6675	2073
763	6683	2064
764	6691	2055
765	6699	2046
766	6707	2037
767	6715	2028
768	6723	2019
769	6734	2011
770	6742	2002
771	6749	1993
772	6756	1984
773	6762	1974
774	6770	1965
775	6776	1956
776	6782	1946
777	6790	1937
778	6802	1929
779	6812	1921
780	6822	1913
781	6831	1904
782	6839	1895
783	6847	1886
784	6855	1877
785	6867	1869
786	6873	1860
787	6880	1851
788	6886	1841
789	6899	1833
790	6908	1825
791	6917	1816
792	6926	1808
793	6933	1798
794	6941	1790
795	6948	1780
796	6953	1771
797	6961	1762
798	6967	1752
799	6972	1743
800	6982	1734
801	6988	1725
802	6997	1716
803	7003	1707
804	7008	1697
805	7015	1688
806	7026	1680
807	7031	1670
808	7037	1661
809	7045	1652
810	7051	1643
811	7061	1634
812	7070	1626
813	7077	1617
814	7083	1607
815	7089	1598
816	7094	1589
817	7103	1580
818	7112	1571
819	7118	1562
820	7126	1553
821	7133	1544
822	7138	1535
823	7150	1527
824	7160	1518
825	7165	1509
826	7171	1500
827	7176	1490
828	7185	1482
829	7194	1473
830	7202	1464
831	7210	1455
832	7216	1446
833	7221	1437
834	7231	1428
835	7241	1420
836	7251	1412
837	7256	1402
838	7264	1393
839	7273	1385
840	7284	1377
841	7294	1368
842	7307	1360
843	7316	1352
844	7326	1343
845	7331	1334
846	7336	1325
847	7342	1316
848	7348	1306
849	7356	1298
850	7363	1289
851	7368	1280
852	7377	1271
853	7382	1262
854	7389	1253
855	7401	1245
856	7411	1236
857	7417	1227
858	7422	1218
859	7428	1209
860	7442	1201
861	7448	1192
862	7456	1183
863	7463	1174
864	7468	1165
865	7479	1157
866	7489	1148
867	7496	1139
868	7500	1130
869	7506	1121
870	7513	1112
871	7525	1104
872	7531	1095
873	7542	1087
874	7547	1078
875	7554	1069
876	7565	1060
877	7574	1052
878	7579	1043
879	7585	1034
880	7591	1025
881	7597	1016
882	7607	1007
883	7612	998
884	7618	989
885	7625	981
886	7631	972
887	7640	963
888	7647	954
889	7655	946
890	7663	937
891	7668	928
892	7673	919
893	7680	910
894	7690	902
895	7695	893
896	7700	884
897	7710	875
898	7717	867
899	7740	860
900	7746	851
901	7752	842
902	7758	833
903	7766	824
904	7775	816
905	7781	807
906	7789	798
907	7795	789
908	7802	781
909	7811	772
910	7820	764
911	7829	755
912	7835	746
913	7841	737
914	7848	729
915	7858	720
916	7864	711
917	7874	703
918	7881	694
919	7890	686
920	7896	677
921	7906	668
922	7912	660
923	7918	651
